region,price,year,manufacturer,Domestic,condition,cylinders,fuel,odometer,transmission,drive,size,type,paint_color
ft myers / SW florida,9800,2007,mercedes-benz,0,excellent,8 cylinders,gas,97000,automatic,rwd,full-size,sedan,grey
ft myers / SW florida,7000,1974,jeep,1,good,6 cylinders,gas,123000,manual,rwd,mid-size,offroad,red
ft myers / SW florida,5800,2011,volkswagen,0,excellent,4 cylinders,gas,156000,automatic,fwd,mid-size,SUV,white
ft myers / SW florida,5900,2007,kia,0,new,6 cylinders,gas,91000,automatic,fwd,full-size,SUV,custom
ft myers / SW florida,9900,1978,mercedes-benz,0,excellent,other,gas,43000,automatic,rwd,mid-size,convertible,yellow
ft myers / SW florida,4950,2008,chrysler,1,excellent,6 cylinders,gas,117500,automatic,fwd,mid-size,convertible,red
ft myers / SW florida,10900,2015,buick,1,excellent,4 cylinders,gas,52000,automatic,fwd,full-size,SUV,white
gainesville,6800,2011,toyota,0,good,4 cylinders,gas,146123,automatic,fwd,full-size,sedan,black
gainesville,15000,1972,chevrolet,1,excellent,6 cylinders,gas,90000,automatic,rwd,full-size,coupe,custom
gainesville,4999,2008,lexus,0,like new,6 cylinders,gas,256256,automatic,fwd,mid-size,sedan,black
gainesville,27000,1963,chevrolet,1,excellent,8 cylinders,gas,3500,automatic,rwd,full-size,coupe,blue
gainesville,8485,2002,toyota,0,excellent,6 cylinders,gas,127181,manual,rwd,full-size,pickup,grey
gainesville,6250,2003,chevrolet,1,good,6 cylinders,gas,99545,automatic,rwd,mid-size,mini-van,brown
gainesville,6900,2013,honda,0,excellent,6 cylinders,gas,133237,automatic,fwd,mid-size,mini-van,silver
gainesville,12995,2008,ford,1,excellent,8 cylinders,gas,128415,automatic,rwd,full-size,SUV,white
gainesville,4985,2003,nissan,0,excellent,6 cylinders,gas,158247,automatic,rwd,mid-size,SUV,yellow
gainesville,8225,2008,honda,0,good,4 cylinders,gas,101292,automatic,fwd,compact,SUV,blue
gainesville,10995,2014,jeep,1,excellent,6 cylinders,gas,151857,automatic,fwd,full-size,SUV,brown
gainesville,594,2019,cadillac,1,excellent,6 cylinders,gas,20218,automatic,4wd,full-size,sedan,black
gainesville,35000,2014,chevrolet,1,good,8 cylinders,gas,135436,automatic,4wd,full-size,truck,brown
gainesville,7385,2008,mini,0,excellent,6 cylinders,gas,132991,automatic,fwd,mid-size,mini-van,brown
gainesville,14995,2015,jeep,1,excellent,4 cylinders,gas,63411,automatic,fwd,full-size,SUV,black
gainesville,2500,2003,chevrolet,1,good,6 cylinders,gas,244000,automatic,rwd,full-size,SUV,brown
heartland florida,14250,2013,buick,1,like new,4 cylinders,gas,29000,automatic,fwd,mid-size,SUV,silver
heartland florida,15800,2014,volkswagen,0,like new,5 cylinders,gas,25000,automatic,fwd,full-size,convertible,white
jacksonville,9250,2014,hyundai,0,excellent,4 cylinders,gas,91739,automatic,fwd,full-size,SUV,brown
jacksonville,28700,2020,toyota,0,like new,4 cylinders,gas,20000,automatic,fwd,mid-size,sedan,white
jacksonville,5900,2011,chevrolet,1,good,4 cylinders,gas,125300,automatic,fwd,full-size,sedan,blue
jacksonville,9250,2011,volkswagen,0,excellent,4 cylinders,diesel,86540,automatic,fwd,mid-size,hatchback,silver
jacksonville,7900,2012,toyota,0,fair,4 cylinders,hybrid,102440,automatic,fwd,mid-size,sedan,black
jacksonville,11000,2004,jeep,1,good,4 cylinders,gas,1018000,manual,4wd,compact,offroad,black
jacksonville,4900,2003,honda,0,good,6 cylinders,gas,184106,automatic,fwd,full-size,mini-van,silver
jacksonville,16200,2015,honda,0,like new,4 cylinders,gas,45900,automatic,fwd,full-size,sedan,grey
jacksonville,7999,2014,volkswagen,0,excellent,4 cylinders,gas,108551,automatic,fwd,mid-size,SUV,grey
jacksonville,7850,2006,infiniti,0,excellent,6 cylinders,gas,103800,automatic,rwd,mid-size,SUV,silver
jacksonville,32795,2016,ford,1,like new,8 cylinders,gas,98943,automatic,4wd,full-size,pickup,black
jacksonville,17295,2012,ford,1,like new,6 cylinders,gas,178288,automatic,4wd,full-size,pickup,red
jacksonville,36295,2019,chevrolet,1,like new,8 cylinders,gas,31657,automatic,4wd,full-size,pickup,white
jacksonville,36795,2019,chevrolet,1,like new,8 cylinders,gas,22750,automatic,4wd,full-size,pickup,grey
