,region,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
402879,treasure coast,8800,2004.0,chevrolet,excellent,8 cylinders,gas,138000.0,clean,automatic,rwd,full-size,van,white
402881,treasure coast,8700,2013.0,ford,excellent,6 cylinders,gas,88000.0,clean,automatic,fwd,full-size,sedan,black
403007,treasure coast,29900,2011.0,ford,excellent,8 cylinders,diesel,165562.0,clean,automatic,4wd,full-size,truck,brown
403035,treasure coast,20800,2011.0,lexus,excellent,8 cylinders,gas,125000.0,clean,automatic,4wd,full-size,SUV,white
403036,treasure coast,3750,2002.0,nissan,good,6 cylinders,gas,167000.0,clean,automatic,fwd,mid-size,sedan,silver
403045,treasure coast,19989,2015.0,mercedes-benz,excellent,4 cylinders,gas,46530.0,clean,automatic,rwd,sub-compact,coupe,red
403051,treasure coast,3350,2008.0,nissan,good,4 cylinders,gas,160000.0,clean,automatic,fwd,compact,sedan,silver
403052,treasure coast,25850,2011.0,ford,excellent,8 cylinders,diesel,84339.0,clean,automatic,rwd,full-size,truck,white
403063,treasure coast,3490,2004.0,honda,good,6 cylinders,gas,222000.0,clean,manual,4wd,full-size,SUV,blue
403064,treasure coast,29000,2011.0,ford,excellent,8 cylinders,diesel,152965.0,clean,automatic,4wd,full-size,truck,white
403065,treasure coast,29000,2011.0,ford,excellent,8 cylinders,diesel,152965.0,clean,automatic,4wd,full-size,truck,white
403089,treasure coast,2495,2003.0,chevrolet,good,6 cylinders,gas,190000.0,clean,automatic,4wd,mid-size,mini-van,blue
403141,treasure coast,5800,2012.0,fiat,excellent,4 cylinders,gas,95000.0,clean,automatic,fwd,sub-compact,coupe,blue
403171,treasure coast,2750,1997.0,chevrolet,good,8 cylinders,gas,177000.0,clean,automatic,fwd,full-size,wagon,silver
403175,treasure coast,13600,2012.0,jeep,excellent,6 cylinders,gas,79000.0,clean,automatic,rwd,full-size,SUV,white
403179,treasure coast,14900,2015.0,ram,excellent,4 cylinders,gas,71362.0,clean,automatic,fwd,full-size,van,white
403184,treasure coast,7800,2006.0,jeep,excellent,6 cylinders,gas,75000.0,clean,automatic,rwd,full-size,SUV,white
403188,treasure coast,3500,2001.0,honda,good,4 cylinders,gas,125805.0,clean,automatic,fwd,compact,coupe,red
403189,treasure coast,19700,2016.0,bmw,like new,4 cylinders,gas,85000.0,clean,automatic,rwd,full-size,sedan,white
403192,treasure coast,6995,2002.0,chevrolet,excellent,8 cylinders,gas,134000.0,clean,automatic,rwd,full-size,pickup,white
403199,treasure coast,5000,1997.0,mercedes-benz,good,8 cylinders,gas,148650.0,clean,automatic,rwd,mid-size,convertible,silver
403204,treasure coast,19989,2015.0,mercedes-benz,excellent,4 cylinders,gas,46530.0,clean,automatic,rwd,sub-compact,coupe,red
403209,treasure coast,29900,2011.0,ford,excellent,8 cylinders,diesel,165562.0,clean,automatic,4wd,full-size,truck,brown
403215,treasure coast,3995,2012.0,ford,good,4 cylinders,gas,123000.0,clean,automatic,fwd,compact,sedan,red
403220,treasure coast,13500,1996.0,ford,excellent,8 cylinders,gas,654922.0,clean,automatic,4wd,full-size,truck,green
403223,treasure coast,12900,2003.0,ford,good,8 cylinders,diesel,95285.0,clean,automatic,fwd,full-size,truck,white
